item_id,owner,citizen,roles,score,role_description
0,5CyuFfbF95rzBxru7c9yEsX4XmQXUxpLUcbj9RLg9K1cGiiF,,,,"Founder / Admin"
1,5GCZQNjRdHofEHPvVq4ePrfDYcjRzQ1HQ2awHMX6AawpRYuM,true,2,60,Citizen+Referrer
2,5HEcuuypLDeJaSj6ZgH57aXhuviyeLNdw9QrCDJ8u6gsnjnL,true,2,60,Citizen+Referrer
3,5D7WPmK1SAJyYDdCtgqEzGJpWXQe3Lj9FqWL8z9waLTkUNv3,true,3,160,Citizen+Referrer+Validator
4,5HEcuuypLDeJaSj6ZgH57aXhuviyeLNdw9QrCDJ8u6gsnjnL,true,1,10,Citizen
5,5E7VD2qmso1yRfyq3t9u2qhauAgtmjZTybVsCARF5Zz9bXy6,true,3,160,Citizen+Referrer+Validator
6,5EXJzMapfD1bRdhbQGciQRmxjyXL2kHKo8GrfmCsnbhZJjwG,true,1,10,Citizen
7,5HTU5xskxgx9HM2X8ssBCNkuQ4XECQXpfn85VkQEY6AE9YbT,true,1,10,Citizen
8,5H6fCw1vWq9J4u8KvrDcyLCxtjKNYpVtnTCJNurJvJNs6Ggw,true,1,10,Citizen
9,5EhCpn82QtdU53MF6PoNFrKHgSrsfcAxFTMwrn3JYf9dioQw,true,1,10,Citizen
10,5GP4nAcwtETTg1oAHQNvevmmhG8GEstGQeCirKEhaDTwpFgx,true,2,60,Citizen+Referrer
11,5H8jTzi4Gm4rbFtXw6h5enhLhgsuhNAqR5K2itmPiz83ymWy,true,2,60,Citizen+Referrer
12,5EpmpTXbMXpz6ixy3WhutdzcexzPbvybNKv4eiiN1kvTnQH5,true,3,160,Citizen+Referrer+Validator
13,5GspwkKF6aYzFkmAyBBQg7coSCSgDCore79fbW8uxJNAH347,true,2,60,Citizen+Referrer
14,5FQptVCtM1qsxkLbQkATkw4Kio4M9LxWvM6TwgEo3QjmTXF3,true,3,160,Citizen+Referrer+Validator
15,5EhNrCuXujRKefXrY76wkFMUHVNNpDZpGXvf2L1zTuEK1KsZ,true,1,10,Citizen
16,5E52HMv4jybhJt9exLBHB4hyo599sd4TrXAShi7fdtWSRE4n,true,1,10,Citizen
17,5FsjezZEfCyj2RYVqSfCLzi7ncyP5UL6vYKyXRxF6eLwY7c6,true,1,10,Citizen
18,5FjnZPakmcmhWcFsomTh35JQ3qBZ3J4arTcAt3D61KxTQcyN,true,1,10,Citizen
19,5DFsm3BBEgHmSEZkvwGKB7c7tiH2avhfuQE1SEjfMDGuczsW,true,3,160,Citizen+Referrer+Validator
20,5EUicESxhYm7ei6MYyJFTihgahB9g2HvJJ9sY47sTwu1YScH,true,1,10,Citizen
21,5ELgySrX5ZyK7EWXjj6bAedyTCcTNWDANbiiipsT5gnpoCEp,true,3,160,Citizen+Referrer+Validator
22,5FyFwbGLgPXun3azh6Gx83wCuUt5FTavb2WAVDYrjziVB9rN,true,2,60,Citizen+Referrer
23,5CQ6K9myvhQRYLYN4whnjYtx8aazqocpvb153DzYm3QWAPG9,true,1,10,Citizen
24,5CFYDUUhEapL8R2N9BuoXXguce4YiDWAtahfbSWPi7YiwbLr,true,1,10,Citizen
25,5G6bTLHs3vo7L6tmxLY2dZWbNQZAVdFkR2WMLDcveXJk6gRe,true,1,10,Citizen
26,5HePVUXjGSM2hVZ1YMz2V3KoX6EdQNEmmzUnUvpfGV95ofUR,true,2,60,Citizen+Referrer
27,5GmuX11pN2fC4Fyq1V7MuiYt3aevZcVQs3HZWKyzmap9bKfe,true,2,60,Citizen+Referrer
28,5Ccz5W7Q21g4UPCytzHxD3VSMLJ1BbbWSkJKFwsNtYRk3HkX,true,3,185,Citizen+Referrer+Validator
29,5Hn4rvvwQxnKrbgk3BmTWUMTWvsDabYnUt6RCRoWe6WXo4QV,true,1,10,Citizen
30,5EfUVZ4HXG65WuqeG24z4Pmt11cNQTUacR3CKymKcsv1UTFU,true,2,210,Citizen+Referrer
31,5DXCuUnTM1aRQEndZEsHVga2V7ToXXwaB1kNzYfGPdyWQrWg,true,1,10,Citizen
32,5HWFZbhkZuTUySXu6ZXYKrTHBnWXHvWRKLozE22zhnwXGGxk,true,2,60,Citizen+Referrer
33,5GipBJs2uNWTCazyZQ2vG3DEqLz4tXNmNZtBAT1Mtm1orZ5i,true,2,60,Citizen+Referrer
34,5DXgq7uDXog6zcubT3wgtaYosoibjudz4w5ScPW2phLuAy3V,true,3,160,Citizen+Referrer+Validator
35,5Fs3P5tHuL9cvwPQojsheViRRAjFkMMFa32jAkDSwW9mbTfU,true,2,60,Citizen+Referrer
36,5FYoCM3oeEGeoFY94EgXBhmABkRCabvPp72ur5bJNG3cK619,true,3,160,Citizen+Referrer+Validator
37,5CcsK5jFdVg3CPYdi6hYWAVAc9xYfWCT595ZGPokNypfabSk,true,1,10,Citizen
38,5FnJs1VoxkJHH2y4DRjRkcgoYU9JSiRs2de3jo5ZbfE6JsgA,true,1,10,Citizen
39,5Fjy2pmqUYZzEboKfmJQkKVrY5dhU1TYAP2s92ES62xj8Mx5,true,1,10,Citizen
40,5CrB5BWJfLNWEZAsAXDKXdJUGzFMXKvYnwRX4DVMcgBwxSdx,true,3,210,Citizen+Referrer+Validator
